Delivery Segments,W-1,W-2,W-3,W-4,W-5,W-6,W-7,W-8,W-9,W-10,W-11,W-12,W-13,W-14,W-15,W-16,W-17,W-18
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
PART-1: CORE PLATFORM (W1-W10),,,,,,,,,,,,,,,,,,
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
Project Orientation & Requirement Documentation,X,X,X,,,,,,,,,,,,,,,
Finalize SoW,,X,X,,,,,,,,,,,,,,,
UI/UX Design - Web,,X,X,X,X,X,X,X,,,,,,,,,,
Mobile Application - UX Design,,X,X,X,X,X,X,X,X,X,,,,,,,,
Cloud Stack Setup and Testing,X,X,X,,,,,,,,,,,,,,,
Microservices Dev,,,X,X,X,,,,,,,,,,,,,
Web Dev,,,X,X,X,X,X,X,X,,,,,,,,,
Bedrock Agent Setup,,,X,X,X,X,,,,,,,,,,,,
RAG Pipeline Setup,,,,X,X,X,X,X,,,,,,,,,,
Front End Dev,,,X,X,X,X,X,X,X,,,,,,,,,
CI/CD Setup,,,X,X,X,X,X,X,X,,,,,,,,,
Android Mobile Application Dev,,,X,X,X,X,X,X,X,,,,,,,,,
iOS Mobile Application Dev,,,,X,X,X,X,X,X,X,,,,,,,,
Integration Testing,,,,X,X,X,X,X,X,X,,,,,,,,
,,,,,,,,,,,,,,,,,,
** DPDP ACT 2023 COMPLIANCE - PART 1 **,,,,,,,,,,,,,,,,,,
DPDP Technical Architecture & Data Model,X,X,,,,,,,,,,,,,,,,
Consent Management System (All Touchpoints),,,X,X,X,,,,,,,,,,,,,
Patient Rights Portal (Access/Download/Delete),,,,X,X,X,,,,,,,,,,,,
Data Protection Officer (DPO) Dashboard,,,,,,,X,X,,,,,,,,,,
Audit Logging & Monitoring Infrastructure,,,,,,,X,X,,,,,,,,,,
Data Localization & Geo-Fencing Controls,,,,,,,,X,X,,,,,,,,,
Breach Detection & Notification System,,,,,,,,X,X,,,,,,,,,
Grievance Management System,,,,,,,X,X,,,,,,,,,,
Role-Based Access Control (RBAC),,,,X,X,X,X,,,,,,,,,,,
Data Minimization & Purpose Limitation,,,,,,X,X,,,,,,,,,,,
DPDP Compliance Testing Suite,,,,,,,,,X,X,,,,,,,,
,,,,,,,,,,,,,,,,,,
Part-1 Handover to UAT,,,,,,,,,,X,,,,,,,,
,,,,,,,,,,,,,,,,,,
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
PART-2: VOICE AI CAPABILITIES (W11-W14),,,,,,,,,,,,,,,,,,
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
STT & TTS Setup (AWS Polly/Transcribe),,,,,,,,,,,X,X,,,,,,
Voice Bot Flow Integration with RAG,,,,,,,,,,,,X,X,,,,,
Performance & Context Testing of Voice Workflows,,,,,,,,,,,,,X,X,,,,
,,,,,,,,,,,,,,,,,,
** DPDP ACT 2023 COMPLIANCE - PART 2 **,,,,,,,,,,,,,,,,,,
Voice Consent Capture (Verbal Consent Recording),,,,,,,,,,,,X,X,,,,,
Voice Data Retention & Deletion Controls,,,,,,,,,,,,X,X,,,,,
Voice Audit Logging (All Voice Interactions),,,,,,,,,,,,X,X,,,,,
DPDP Testing for Voice Workflows,,,,,,,,,,,,,X,X,,,,
,,,,,,,,,,,,,,,,,,
Part-2 Handover to UAT,,,,,,,,,,,,,,X,,,,
,,,,,,,,,,,,,,,,,,
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
PART-3: ADVANCED FEATURES (W15-W18),,,,,,,,,,,,,,,,,,
═══════════════════════════════════════════════════════,,,,,,,,,,,,,,,,,,
Doctor & Admin Portal (Advanced Workflows),,,,,,,,,,,,,,,X,X,X,
iOS App Flow for User (Doctor Profile),,,,,,,,,,,,,,,,X,X,
Android App Flow for User (Doctor Profile),,,,,,,,,,,,,,,,X,X,
DPO-Based Learning and Optimization,,,,,,,,,,,,,,,,,X,X
Payment Gateway Integration & Reconciliation,,,,,,,,,,,,,,,X,X,,
"Performance, Load & Security Testing",,,,,,,,,,,,,,,,X,X,X
Production Environment Setup (Dev/UAT/Prod),,,,,,,,,,,,,,,X,X,,
,,,,,,,,,,,,,,,,,,
** DPDP ACT 2023 COMPLIANCE - PART 3 **,,,,,,,,,,,,,,,,,,
Advanced Consent Analytics & Reporting,,,,,,,,,,,,,,,,X,,
Data Portability (Structured Export Formats),,,,,,,,,,,,,,,,X,,
Automated Cascade Deletion Across Systems,,,,,,,,,,,,,,,,X,X,
Full Regulatory Compliance Audit,,,,,,,,,,,,,,,,,X,X
DPDP Certification Documentation,,,,,,,,,,,,,,,,,X,X
Clinical Safety & Medical Device Compliance (if applicable),,,,,,,,,,,,,,,,,X,X
,,,,,,,,,,,,,,,,,,
Integration Testing (Full System),,,,,,,,,,,,,,,,,X,X
Part-3 Handover to Production,,,,,,,,,,,,,,,,,,X
